YEAR,MONTH,DAY,Temperature at 2 Meters,Dew/Frost Point at 2 Meters,Temperature at 2 Meters Maximum,Temperature at 2 Meters Minimum,Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Precipitation Corrected (mm/day),Wind Speed at 10 Meters
2013,1,1,9.62,-1.28,15.24,5.64,3.54,47,0,1.54
2013,1,2,9.11,-2.54,19.15,1.8,3.17,48.56,0,3.04
2013,1,3,9.37,-5.02,18.68,3.35,2.62,38.06,0,2.23
2013,1,4,8.65,-4.79,19.11,1.76,2.69,40.75,0,3.38
2013,1,5,7.65,-5.74,17.94,0.51,2.5,41.69,0,3.39
2013,1,6,6.75,-6.7,16.36,0.87,2.32,39.56,0,2.61
2013,1,7,6.53,-6.53,16.59,-0.27,2.32,41,0,3.23
2013,1,8,7.95,-5.99,18.85,-0.06,2.44,40.44,0.16,3.63
2013,1,9,10.19,1.95,18.37,4.53,4.46,58.62,1.4,3.29
2013,1,10,10.63,-0.84,21.65,2.89,3.6,49.81,0,4.07
2013,1,11,12.95,-0.91,24.01,3.55,3.72,42.06,0,3.16
2013,1,12,15.33,3.53,22.5,10.17,5,46.56,0.03,2.05
2013,1,13,14,0.39,24.05,7.44,4.15,46.5,0,3.8
2013,1,14,11.23,-6.62,22.62,3.01,2.32,31.06,0,2.99
2013,1,15,11.88,-6.18,20.73,5.09,2.38,29.56,0,1.76
2013,1,16,12.36,-3.19,20.7,7.24,3.05,34.56,0,1.69
2013,1,17,11.67,1.45,18.55,8.48,4.33,50.88,0.4,1.45
2013,1,18,11.38,6.44,18.89,7.9,6.16,74.19,7.9,2.35
2013,1,19,9.92,-1.53,18.26,5.52,3.48,48.31,0.49,2.16
2013,1,20,9.2,-4.13,19.9,2.13,2.81,43.06,0,3.76
2013,1,21,8.87,-5.49,20.19,0.79,2.5,39.19,0,3.02
2013,1,22,9.87,-5.64,21.51,1.26,2.5,36.94,0,2.73
2013,1,23,11.03,-3.15,20.69,5.12,3.11,41.38,0,2.59
2013,1,24,10.93,0.33,21.19,3.22,3.97,54.69,0,3.01
2013,1,25,11.33,-2.65,22.26,3.23,3.17,42.06,0,3.26
2013,1,26,11.87,-4.35,23.87,3.3,2.75,35.75,0,3.88
2013,1,27,12.73,-3.26,22.63,4.2,3.05,35,0,2.94
2013,1,28,15.24,-2.19,24.95,8.07,3.3,32.75,0,2.7
2013,1,29,14.83,-1.27,24.8,7.97,3.54,35.81,0,2.59
2013,1,30,14.58,-0.38,22.59,8.83,3.78,37,0,1.7
2013,1,31,14.89,0.47,24.01,9.94,3.97,39.31,0,2.39
2013,2,1,15.26,4.02,24.06,8.03,5.13,50.38,0,2.42
2013,2,2,17.09,5.56,25.44,11.75,5.74,48.94,0,2.87
2013,2,3,13.63,7.3,18.81,9.51,6.47,67.62,6.59,1.45
2013,2,4,14.26,10.78,19.38,11.22,8.18,80.69,9.68,4.66
2013,2,5,13.68,10.9,18.96,9.91,8.3,84.06,14.04,4.81
2013,2,6,12.48,5.56,20.6,6.76,5.74,68.12,0.07,3.94
2013,2,7,12.35,2.51,22.51,4.36,4.58,56.5,0,3.01
2013,2,8,12.08,-0.66,22.99,3.68,3.66,46.69,0,3.31
2013,2,9,12.82,-1.66,23.68,4.42,3.42,41.12,0,2.48
2013,2,10,14.77,-1.85,24.57,8.03,3.36,34.5,0,1.66
2013,2,11,14.16,0.11,22.74,8.23,3.91,40.56,0,2.48
2013,2,12,14.96,1.69,25,6.79,4.39,45.19,0,2.85
2013,2,13,15.81,2.69,26.01,7.63,4.7,45.25,0,2.88
2013,2,14,16.56,4.86,25.19,10.78,5.49,49.06,0,2.41
2013,2,15,16.22,8.08,23.44,11.27,6.84,62.25,0.12,2.97
2013,2,16,14.5,11.59,18.69,11.59,8.67,83.62,13.46,2.36
2013,2,17,15.4,8.03,22.05,8.93,6.84,65.44,0.3,1.25
2013,2,18,15.41,4.83,23.6,8.28,5.43,52.31,0,2.77
2013,2,19,14.84,3.69,23,9.33,5.07,49.94,0,2.83
2013,2,20,16.05,6.08,25.1,8.85,5.92,54.56,0,2.62
2013,2,21,15.4,9.1,21.15,12.4,7.39,67.56,5.73,2.12
2013,2,22,16.33,10.54,22.83,11.22,8.06,71.38,3.54,2.52
2013,2,23,14.56,12.35,17.76,11.49,9.09,86.88,12.91,3.28
2013,2,24,16.75,9.9,24.26,9.95,7.69,68.12,0.33,1.62
2013,2,25,18.23,7.33,25.69,12.05,6.47,51.31,0,1.68
2013,2,26,18.3,7.71,24.19,13.54,6.71,51.56,3.75,1.84
2013,2,27,16.61,8.32,23.65,10.2,7.02,62.38,5.77,3.62
2013,2,28,16.92,5.03,25.12,11.25,5.49,48.12,0,2.73
2013,3,1,15.32,2.07,26.16,6.93,4.52,47.44,0,4.81
2013,3,2,16.73,2.94,29.3,6.69,4.76,44.44,0,4.16
2013,3,3,18.79,4.99,30.41,8.92,5.55,45.38,0,3.27
2013,3,4,21.63,4.61,30.55,11.94,5.37,36.88,0,1.84
2013,3,5,21.44,5.22,30.61,15.04,5.62,37.19,0,2.12
2013,3,6,20.06,6.85,30.8,11.33,6.29,48,0,3.16
2013,3,7,21.23,6.23,31.49,11.37,6.04,42.44,0,2.55
2013,3,8,23.15,5.58,31.69,15.08,5.74,34.69,0,1.34
2013,3,9,21.87,5.98,29.67,14.28,5.98,37.81,0,2.52
2013,3,10,21.91,6.12,31.74,14.56,6.04,39.12,0,3.1
2013,3,11,20.49,3.17,30.17,12.34,4.94,36.25,0,2.41
2013,3,12,22.35,5.31,30.76,15.3,5.68,35.31,0,1.84
